"cms","date_utc"
121.299997288734,2023-04-30
121.87999727577,2023-04-30 01:00:00
122.969997251406,2023-04-30 02:00:00
125.479997195303,2023-04-30 03:00:00
128.769997121766,2023-04-30 04:00:00
131.549997059628,2023-04-30 05:00:00
134.469996994361,2023-04-30 06:00:00
137.949996916577,2023-04-30 07:00:00
141.43999683857,2023-04-30 08:00:00
144.659996766597,2023-04-30 09:00:00
147.509996702895,2023-04-30 10:00:00
150.149996643886,2023-04-30 11:00:00
152.729996586218,2023-04-30 12:00:00
155.059996534139,2023-04-30 13:00:00
156.629996499047,2023-04-30 14:00:00
157.129996487871,2023-04-30 15:00:00
156.689996497706,2023-04-30 16:00:00
155.579996522516,2023-04-30 17:00:00
154.179996553808,2023-04-30 18:00:00
152.769996585324,2023-04-30 19:00:00
151.469996614382,2023-04-30 20:00:00
150.399996638298,2023-04-30 21:00:00
149.679996654391,2023-04-30 22:00:00
149.359996661544,2023-04-30 23:00:00
150.359996639192,2023-05-01
151.419996615499,2023-05-01 01:00:00
152.189996598288,2023-05-01 02:00:00
154.229996552691,2023-05-01 03:00:00
157.459996480495,2023-05-01 04:00:00
160.99999640137,2023-05-01 05:00:00
164.679996319115,2023-05-01 06:00:00
168.079996243119,2023-05-01 07:00:00
172.479996144772,2023-05-01 08:00:00
177.409996034577,2023-05-01 09:00:00
181.649995939806,2023-05-01 10:00:00
184.769995870069,2023-05-01 11:00:00
186.399995833635,2023-05-01 12:00:00
186.809995824471,2023-05-01 13:00:00
186.319995835423,2023-05-01 14:00:00
185.239995859563,2023-05-01 15:00:00
184.019995886832,2023-05-01 16:00:00
182.869995912537,2023-05-01 17:00:00
181.379995945841,2023-05-01 18:00:00
179.799995981157,2023-05-01 19:00:00
178.429996011779,2023-05-01 20:00:00
177.179996039718,2023-05-01 21:00:00
176.129996063188,2023-05-01 22:00:00
175.319996081293,2023-05-01 23:00:00
174.659996096045,2023-05-02
174.009996110573,2023-05-02 01:00:00
172.839996136725,2023-05-02 02:00:00
171.729996161535,2023-05-02 03:00:00
171.419996168464,2023-05-02 04:00:00
171.059996176511,2023-05-02 05:00:00
