"cms","date_utc"
42.1599990576506,2023-05-05 15:00:00
41.4299990739673,2023-05-05 16:00:00
40.9299990851432,2023-05-05 17:00:00
40.1399991028011,2023-05-05 18:00:00
39.5199991166592,2023-05-05 19:00:00
38.5799991376698,2023-05-05 20:00:00
37.8399991542101,2023-05-05 21:00:00
37.7699991557747,2023-05-05 22:00:00
37.8699991535395,2023-05-05 23:00:00
37.6399991586804,2023-05-06
37.1599991694093,2023-05-06 01:00:00
36.6099991817027,2023-05-06 02:00:00
36.8799991756678,2023-05-06 03:00:00
37.009999172762,2023-05-06 04:00:00
37.3599991649389,2023-05-06 05:00:00
37.1799991689622,2023-05-06 06:00:00
36.5399991832674,2023-05-06 07:00:00
35.5899992045015,2023-05-06 08:00:00
34.6199992261827,2023-05-06 09:00:00
33.5199992507696,2023-05-06 10:00:00
32.7799992673099,2023-05-06 11:00:00
31.7399992905557,2023-05-06 12:00:00
30.8999993093312,2023-05-06 13:00:00
30.0599993281066,2023-05-06 14:00:00
29.4199993424118,2023-05-06 15:00:00
28.9799993522465,2023-05-06 16:00:00
28.5999993607402,2023-05-06 17:00:00
28.0199993737042,2023-05-06 18:00:00
28.4199993647635,2023-05-06 19:00:00
28.3099993672222,2023-05-06 20:00:00
28.4599993638694,2023-05-06 21:00:00
28.6499993596226,2023-05-06 22:00:00
28.9499993529171,2023-05-06 23:00:00
29.259999345988,2023-05-07
30.0199993290007,2023-05-07 01:00:00
30.8699993100017,2023-05-07 02:00:00
31.0399993062019,2023-05-07 03:00:00
30.7999993115664,2023-05-07 04:00:00
30.8499993104488,2023-05-07 05:00:00
30.8699993100017,2023-05-07 06:00:00
30.3699993211776,2023-05-07 07:00:00
29.6899993363768,2023-05-07 08:00:00
29.1899993475527,2023-05-07 09:00:00
28.3099993672222,2023-05-07 10:00:00
27.5199993848801,2023-05-07 11:00:00
26.97999939695,2023-05-07 12:00:00
26.5099994074553,2023-05-07 13:00:00
26.0599994175136,2023-05-07 14:00:00
25.6299994271249,2023-05-07 15:00:00
25.3299994338304,2023-05-07 16:00:00
24.8099994454533,2023-05-07 17:00:00
24.1799994595349,2023-05-07 18:00:00
23.7999994680285,2023-05-07 19:00:00
23.4599994756281,2023-05-07 20:00:00
23.3899994771928,2023-05-07 21:00:00
23.5899994727224,2023-05-07 22:00:00
24.0599994622171,2023-05-07 23:00:00
24.8599994443357,2023-05-08
25.4599994309247,2023-05-08 01:00:00
26.0499994177371,2023-05-08 02:00:00
26.5799994058907,2023-05-08 03:00:00
26.7799994014204,2023-05-08 04:00:00
26.8299994003028,2023-05-08 05:00:00
26.8599993996322,2023-05-08 06:00:00
26.5799994058907,2023-05-08 07:00:00
26.3899994101375,2023-05-08 08:00:00
25.8799994215369,2023-05-08 09:00:00
25.4499994311482,2023-05-08 10:00:00
25.1199994385242,2023-05-08 11:00:00
24.8899994436651,2023-05-08 12:00:00
24.3599994555116,2023-05-08 13:00:00
24.0499994624406,2023-05-08 14:00:00
23.849999466911,2023-05-08 15:00:00
23.3399994783103,2023-05-08 16:00:00
22.7399994917214,2023-05-08 17:00:00
22.129999505356,2023-05-08 18:00:00
21.6999995149672,2023-05-08 19:00:00
21.1899995263666,2023-05-08 20:00:00
20.8499995339662,2023-05-08 21:00:00
21.1899995263666,2023-05-08 22:00:00
21.7099995147437,2023-05-08 23:00:00
22.1499995049089,2023-05-09
22.5899994950742,2023-05-09 01:00:00
23.3099994789809,2023-05-09 02:00:00
24.4599994532764,2023-05-09 03:00:00
25.7399994246662,2023-05-09 04:00:00
26.3499994110316,2023-05-09 05:00:00
26.0799994170666,2023-05-09 06:00:00
25.4899994302541,2023-05-09 07:00:00
25.0899994391948,2023-05-09 08:00:00
24.9199994429946,2023-05-09 09:00:00
24.7499994467944,2023-05-09 10:00:00
24.4799994528294,2023-05-09 11:00:00
24.0799994617701,2023-05-09 12:00:00
23.6399994716048,2023-05-09 13:00:00
23.3099994789809,2023-05-09 14:00:00
23.0499994847924,2023-05-09 15:00:00
22.669999493286,2023-05-09 16:00:00
22.2599995024502,2023-05-09 17:00:00
21.7199995145202,2023-05-09 18:00:00
24.7399994470179,2023-05-09 19:00:00
24.7499994467944,2023-05-09 20:00:00
25.1699994374067,2023-05-09 21:00:00
25.6399994269013,2023-05-09 22:00:00
26.149999415502,2023-05-09 23:00:00
26.6799994036555,2023-05-10
27.3699993882328,2023-05-10 01:00:00
28.0999993719161,2023-05-10 02:00:00
28.2599993683398,2023-05-10 03:00:00
28.3899993654341,2023-05-10 04:00:00
28.7999993562698,2023-05-10 05:00:00
28.989999352023,2023-05-10 06:00:00
28.4599993638694,2023-05-10 07:00:00
27.8899993766099,2023-05-10 08:00:00
27.4899993855506,2023-05-10 09:00:00
26.9899993967265,2023-05-10 10:00:00
26.4299994092435,2023-05-10 11:00:00
25.9099994208664,2023-05-10 12:00:00
25.4499994311482,2023-05-10 13:00:00
24.9999994412065,2023-05-10 14:00:00
24.3699994552881,2023-05-10 15:00:00
23.6499994713813,2023-05-10 16:00:00
22.8599994890392,2023-05-10 17:00:00
22.3599995002151,2023-05-10 18:00:00
21.9999995082617,2023-05-10 19:00:00
21.7799995131791,2023-05-10 20:00:00
21.7299995142967,2023-05-10 21:00:00
21.7599995136261,2023-05-10 22:00:00
21.7699995134026,2023-05-10 23:00:00
22.109999505803,2023-05-11
22.7599994912744,2023-05-11 01:00:00
23.249999480322,2023-05-11 02:00:00
23.7299994695932,2023-05-11 03:00:00
24.0199994631112,2023-05-11 04:00:00
24.0099994633347,2023-05-11 05:00:00
24.1299994606525,2023-05-11 06:00:00
24.0299994628876,2023-05-11 07:00:00
23.7199994698167,2023-05-11 08:00:00
23.4999994747341,2023-05-11 09:00:00
23.2799994796515,2023-05-11 10:00:00
22.959999486804,2023-05-11 11:00:00
22.5499994959682,2023-05-11 12:00:00
22.1399995051324,2023-05-11 13:00:00
21.7199995145202,2023-05-11 14:00:00
21.3099995236844,2023-05-11 15:00:00
21.1399995274842,2023-05-11 16:00:00
20.8399995341897,2023-05-11 17:00:00
20.2799995467067,2023-05-11 18:00:00
20.9799995310605,2023-05-11 19:00:00
20.7999995350838,2023-05-11 20:00:00
20.7099995370954,2023-05-11 21:00:00
20.8699995335191,2023-05-11 22:00:00
21.2699995245785,2023-05-11 23:00:00
21.9099995102733,2023-05-12
22.5199994966388,2023-05-12 01:00:00
22.8999994881451,2023-05-12 02:00:00
23.0499994847924,2023-05-12 03:00:00
23.0699994843453,2023-05-12 04:00:00
23.3799994774163,2023-05-12 05:00:00
23.5799994729459,2023-05-12 06:00:00
23.4299994762987,2023-05-12 07:00:00
23.3199994787574,2023-05-12 08:00:00
23.1799994818866,2023-05-12 09:00:00
22.8899994883686,2023-05-12 10:00:00
22.5299994964153,2023-05-12 11:00:00
22.2899995017797,2023-05-12 12:00:00
22.0499995071441,2023-05-12 13:00:00
21.6099995169789,2023-05-12 14:00:00
21.1599995270371,2023-05-12 15:00:00
20.5299995411187,2023-05-12 16:00:00
19.8799995556474,2023-05-12 17:00:00
19.4799995645881,2023-05-12 18:00:00
19.3399995677173,2023-05-12 19:00:00
19.3999995663762,2023-05-12 20:00:00
19.4699995648116,2023-05-12 21:00:00
